Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1585,Data Analytics Course,98.0,3365.0,224.28,27.0,9.0,0.09183673469387756,1108.0,,Hyderabad,Desktop,data anaytics training
A1586,Data Analytics Course,105.0,3274.0,187.89,24.0,4.0,0.038,1360.0,,Hyderabad,Desktop,learn data analytics
A1587,Data Analytics Course,113.0,3231.0,210.13,19.0,10.0,0.041,1234.0,,Hyderabad,Desktop,online data analytic
A1588,Data Analytics Corse,,3440.0,246.53,13.0,10.0,,1217.0,,Hyderabad,Tablet,online data analytic
A1589,Data Analytics Course,88.0,5196.0,197.32,26.0,5.0,0.057,1438.0,,Hyderabad,Desktop,online data analytic
A1590,Data Analytics Corse,106.0,5321.0,239.76,11.0,7.0,0.066,1910.0,,Hyderabad,Desktop,data anaytics training
A1591,Data Analytics Course,148.0,5841.0,243.09,15.0,7.0,0.047,1535.0,,Hyderabad,Mobile,data analitics online
A1592,Data Analytics Course,174.0,,227.96,25.0,5.0,0.029,1566.0,2024-11-15,Hyderabad,Tablet,online data analytic
A1594,Data Analytics Corse,128.0,4729.0,243.45,25.0,9.0,0.031,1782.0,2024-11-23,Hyderabad,Desktop,learn data analytics
A1595,Data Analytics Course,163.0,5371.0,215.89,29.0,7.0,0.043,1906.0,2024-11-05,Hyderabad,Tablet,data analytics course
A1596,Data Analytics Corse,183.0,5268.0,203.65,17.0,5.0,0.027,1731.0,2024-11-12,Hyderabad,Mobile,learn data analytics
A1597,Data Analytics Course,196.0,5386.0,224.31,23.0,4.0,0.02,1423.0,,Hyderabad,Tablet,learn data analytics
A1598,Data Analytics Course,121.0,4432.0,218.71,25.0,10.0,0.08264462809917356,1568.0,,Hyderabad,Desktop,analytics for data
A1599,Data Analytics Corse,174.0,3031.0,242.32,25.0,6.0,0.034,1381.0,2024-11-08,Hyderabad,Mobile,online data analytic
A1601,Data Analytics Course,118.0,3274.0,222.62,10.0,3.0,0.025,1716.0,,Hyderabad,Tablet,analytics for data
A1602,Data Analytics Corse,118.0,5889.0,193.01,17.0,10.0,0.085,1789.0,2024-11-10,Hyderabad,Desktop,online data analytic
A1603,Data Analytics Course,149.0,5601.0,222.01,15.0,6.0,0.04,1514.0,,Hyderabad,Desktop,analytics for data
A1604,Data Analytics Course,127.0,4295.0,212.6,26.0,10.0,0.079,1713.0,,Hyderabad,Tablet,data analytics course
A1606,Data Analytics Course,173.0,5233.0,229.38,28.0,7.0,0.04046242774566474,1322.0,2024-11-16,Hyderabad,Mobile,learn data analytics
A1607,Data Analytics Course,131.0,5727.0,218.65,28.0,4.0,0.031,1631.0,,Hyderabad,Mobile,data anaytics training
A1608,Data Analytics Course,105.0,4691.0,213.15,21.0,3.0,0.035,1276.0,2024-11-22,Hyderabad,Desktop,analytics for data
A1609,Data Analytics Course,104.0,3409.0,207.63,19.0,4.0,0.038461538461538464,1195.0,,Hyderabad,Mobile,analytics for data
A1610,Data Analytics Course,139.0,4333.0,230.05,19.0,6.0,0.043,1407.0,,Hyderabad,Desktop,analytics for data
A1613,Data Analytics Corse,109.0,4396.0,188.6,11.0,10.0,0.092,1451.0,,Hyderabad,Mobile,data anaytics training
A1614,Data Analytics Corse,141.0,5000.0,223.7,29.0,10.0,0.071,1909.0,2024-11-12,Hyderabad,Tablet,data analitics online
A1615,Data Analytics Corse,182.0,3487.0,211.71,23.0,7.0,0.038,1027.0,,Hyderabad,Mobile,data analitics online
A1616,Data Analytics Course,179.0,4236.0,245.01,23.0,7.0,0.039,1822.0,2024-11-07,Hyderabad,Mobile,learn data analytics
A1618,Data Analytics Course,181.0,5678.0,226.89,22.0,10.0,0.055248618784530384,1992.0,,Hyderabad,Tablet,data anaytics training
A1619,Data Analytics Course,85.0,5247.0,219.97,15.0,7.0,0.082,1612.0,2024-11-20,Hyderabad,Desktop,analytics for data
A1621,Data Analytics Course,172.0,5862.0,202.0,23.0,4.0,0.023,1469.0,,Hyderabad,Desktop,online data analytic
A1622,Data Analytics Course,196.0,5040.0,197.08,11.0,9.0,0.046,1774.0,,Hyderabad,Desktop,data analytics course
A1623,Data Analytics Course,,3423.0,223.95,30.0,4.0,0.055,1480.0,2024-11-03,Hyderabad,Desktop,analytics for data
A1624,Data Analytics Course,135.0,5981.0,228.66,26.0,6.0,0.044444444444444446,1515.0,,Hyderabad,Desktop,data anaytics training
A1625,Data Analytics Course,97.0,3495.0,230.83,16.0,6.0,0.062,1675.0,,Hyderabad,Tablet,analytics for data
A1626,Data Analytics Course,137.0,3702.0,215.41,25.0,9.0,0.066,1010.0,,Hyderabad,Desktop,learn data analytics
A1627,Data Analytics Course,164.0,3405.0,217.58,10.0,3.0,0.018,1885.0,,Hyderabad,Desktop,data analitics online
A1628,Data Analytics Course,178.0,3370.0,180.66,25.0,9.0,0.051,1830.0,2024-11-24,Hyderabad,Desktop,online data analytic
A1629,Data Analytics Course,146.0,4455.0,227.13,16.0,5.0,0.03424657534246575,1040.0,,Hyderabad,Tablet,online data analytic
A1630,Data Analytics Course,149.0,4670.0,218.31,10.0,10.0,0.067,1623.0,,Hyderabad,Mobile,analytics for data
A1631,Data Analytics Course,193.0,4287.0,204.62,15.0,3.0,0.015544041450777202,1800.0,,Hyderabad,Tablet,data anaytics training
A1632,Data Analytics Course,,3546.0,183.41,27.0,7.0,,1701.0,,Hyderabad,Mobile,data anaytics training
A1633,Data Analytics Course,106.0,4740.0,229.13,19.0,3.0,0.028,1149.0,2024-11-11,Hyderabad,Desktop,online data analytic
A1634,Data Analytics Course,131.0,5642.0,184.57,20.0,9.0,0.06870229007633588,1827.0,,Hyderabad,Mobile,data analytics course
A1635,Data Analytics Course,111.0,4161.0,185.58,10.0,7.0,0.06306306306306306,1434.0,2024-11-04,Hyderabad,Desktop,data anaytics training
A1636,Data Analytics Course,144.0,4241.0,181.4,24.0,5.0,0.035,1693.0,,Hyderabad,Mobile,online data analytic
A1639,Data Analytics Course,133.0,4780.0,198.66,22.0,4.0,0.03,1905.0,,Hyderabad,Tablet,online data analytic
A1640,Data Analytics Corse,,5922.0,239.1,12.0,3.0,0.048,1733.0,,Hyderabad,Desktop,data analytics course
A1641,Data Analytics Course,82.0,3454.0,228.02,30.0,7.0,0.049,1463.0,2024-11-09,Hyderabad,Desktop,learn data analytics
A1642,Data Analytics Course,135.0,3449.0,200.06,17.0,5.0,0.037,1950.0,,Hyderabad,Mobile,data analytics course
A1643,Data Analytics Course,199.0,4287.0,235.58,12.0,10.0,0.05,1276.0,2024-11-10,Hyderabad,Tablet,data analytics course
A1644,Data Analytics Course,123.0,5000.0,187.67,25.0,3.0,0.024,1351.0,2024-11-07,Hyderabad,Tablet,data analitics online
A1645,Data Analytics Course,154.0,3437.0,211.63,28.0,4.0,0.026,1604.0,2024-11-14,Hyderabad,Tablet,data anaytics training
A1646,Data Analytics Course,88.0,3475.0,191.96,12.0,7.0,0.08,1204.0,,Hyderabad,Desktop,online data analytic
A1647,Data Analytics Corse,165.0,4889.0,180.19,21.0,4.0,0.024,1458.0,,Hyderabad,Mobile,analytics for data
A1648,Data Analytics Corse,87.0,3639.0,220.76,22.0,3.0,0.036,1231.0,2024-11-14,Hyderabad,Mobile,analytics for data
A1649,Data Analytics Corse,147.0,3959.0,181.18,27.0,9.0,0.061,1627.0,,Hyderabad,Mobile,analytics for data
A1650,Data Analytics Course,137.0,5400.0,180.04,10.0,10.0,0.073,1375.0,2024-11-29,Hyderabad,Tablet,analytics for data
A1651,Data Analytics Course,188.0,5528.0,245.03,13.0,10.0,0.053,1202.0,2024-11-29,Hyderabad,Desktop,analytics for data
A1652,Data Analytics Course,162.0,5456.0,193.69,10.0,6.0,0.037,1992.0,2024-11-29,Hyderabad,Tablet,online data analytic
A1653,Data Analytics Course,102.0,4308.0,221.54,13.0,7.0,0.06,1096.0,2024-11-08,Hyderabad,Mobile,data analitics online
A1654,Data Analytics Course,120.0,3245.0,196.09,15.0,9.0,0.075,1056.0,,Hyderabad,Desktop,data anaytics training
A1655,Data Analytics Course,125.0,3339.0,205.32,18.0,4.0,0.054,1985.0,,Hyderabad,Desktop,data analytics course
A1656,Data Analytics Course,155.0,5977.0,187.28,16.0,7.0,0.04516129032258064,1607.0,,Hyderabad,Desktop,online data analytic
A1657,Data Analytics Course,137.0,4231.0,226.49,25.0,5.0,0.036,1078.0,,Hyderabad,Tablet,analytics for data
A1658,Data Analytics Course,91.0,4506.0,195.99,12.0,3.0,0.045,1179.0,2024-11-22,Hyderabad,Tablet,learn data analytics
A1659,Data Analytics Course,87.0,4869.0,220.97,29.0,5.0,0.057,1480.0,2024-11-05,Hyderabad,Desktop,data anaytics training
A1660,Data Analytics Corse,124.0,5716.0,217.84,28.0,8.0,0.06451612903225806,1791.0,,Hyderabad,Mobile,data anaytics training
A1661,Data Analytics Course,128.0,3243.0,208.41,14.0,6.0,0.037,1514.0,,Hyderabad,Mobile,online data analytic
A1662,Data Analytics Course,111.0,3911.0,239.24,28.0,9.0,0.08108108108108109,1097.0,,Hyderabad,Tablet,online data analytic
A1663,Data Analytics Corse,89.0,3982.0,209.87,27.0,7.0,0.079,1920.0,,Hyderabad,Desktop,data analytics course
A1664,Data Analytics Course,107.0,5299.0,207.36,19.0,8.0,0.07476635514018691,1567.0,,Hyderabad,Tablet,data anaytics training
A1665,Data Analytics Course,181.0,4150.0,236.69,15.0,5.0,0.027624309392265192,1251.0,2024-11-10,Hyderabad,Mobile,data analitics online
A1666,Data Analytics Course,110.0,5925.0,188.18,29.0,9.0,0.082,1682.0,,Hyderabad,Desktop,data anaytics training
A1667,Data Analytics Course,85.0,4010.0,195.26,17.0,4.0,0.042,1853.0,,Hyderabad,Mobile,data analitics online
A1670,Data Analytics Corse,129.0,3787.0,229.81,10.0,6.0,0.047,1221.0,2024-11-13,Hyderabad,Desktop,online data analytic
A1671,Data Analytics Course,112.0,4834.0,212.27,11.0,7.0,0.062,1524.0,,Hyderabad,Mobile,data analitics online
A1672,Data Analytics Course,104.0,3031.0,188.47,13.0,6.0,0.043,1998.0,2024-11-05,Hyderabad,Desktop,data anaytics training
A1673,Data Analytics Course,132.0,3754.0,180.88,21.0,10.0,0.076,1601.0,2024-11-24,Hyderabad,Mobile,online data analytic
A1675,Data Analytics Course,109.0,4910.0,236.2,,8.0,0.054,1145.0,,Hyderabad,Tablet,data anaytics training
A1676,Data Analytics Course,144.0,5026.0,231.82,14.0,4.0,0.028,1645.0,,Hyderabad,Desktop,data analytics course
A1677,Data Analytics Corse,179.0,5091.0,238.62,10.0,6.0,0.034,1259.0,,Hyderabad,Mobile,learn data analytics
A1678,Data Analytics Course,,5622.0,190.87,14.0,8.0,,1400.0,,Hyderabad,Mobile,analytics for data
A1679,Data Analytics Course,116.0,4538.0,221.74,23.0,9.0,0.078,1639.0,2024-11-24,Hyderabad,Desktop,data anaytics training
A1680,Data Analytics Course,89.0,3509.0,192.14,27.0,9.0,0.101,1564.0,,Hyderabad,Mobile,online data analytic
A1681,Data Analytics Course,96.0,3346.0,248.48,15.0,7.0,0.073,1118.0,2024-11-28,Hyderabad,Desktop,data analitics online
A1682,Data Analytics Course,193.0,4706.0,213.41,24.0,8.0,0.046,1058.0,,Hyderabad,Desktop,data analytics course
A1683,Data Analytics Course,122.0,3896.0,194.3,23.0,3.0,0.025,1355.0,,Hyderabad,Mobile,data analytics course
A1684,Data Analytics Course,133.0,3332.0,201.59,14.0,7.0,0.05263157894736842,1943.0,,Hyderabad,Tablet,data analytics course
A1685,Data Analytics Course,177.0,5738.0,249.21,11.0,7.0,0.04,1435.0,,Hyderabad,Mobile,data anaytics training
A1686,Data Analytics Corse,162.0,5346.0,223.12,25.0,5.0,0.031,1052.0,,Hyderabad,Desktop,data analytics course
A1687,Data Analytics Course,182.0,5857.0,192.69,15.0,4.0,0.048,1384.0,,Hyderabad,Desktop,data analytics course
A1688,Data Analytics Corse,154.0,4836.0,233.8,26.0,10.0,0.06493506493506493,1838.0,,Hyderabad,Desktop,data analytics course
A1689,Data Analytics Corse,104.0,5291.0,186.93,19.0,10.0,0.096,1805.0,2024-11-29,Hyderabad,Tablet,data analytics course
A1690,Data Analytics Course,101.0,4840.0,230.68,21.0,9.0,0.089,1556.0,2024-11-22,Hyderabad,Desktop,data anaytics training
A1691,Data Analytics Course,173.0,4246.0,202.95,27.0,3.0,0.017,1276.0,2024-11-29,Hyderabad,Tablet,learn data analytics
A1692,Data Analytics Corse,186.0,5824.0,224.48,29.0,6.0,0.03225806451612903,1882.0,,Hyderabad,Mobile,data analitics online
A1693,Data Analytics Course,148.0,5952.0,186.32,14.0,4.0,0.044,1469.0,,Hyderabad,Mobile,data analytics course
A1694,Data Analytics Course,181.0,3691.0,229.14,25.0,10.0,0.055248618784530384,1375.0,,Hyderabad,Mobile,analytics for data
A1695,Data Analytics Course,110.0,4350.0,243.88,16.0,9.0,0.08181818181818182,1157.0,,Hyderabad,Tablet,online data analytic
A1696,Data Analytics Corse,151.0,5656.0,191.95,18.0,7.0,0.046357615894039736,1813.0,,Hyderabad,Mobile,data analitics online
A1697,Data Analytics Course,90.0,4566.0,228.82,29.0,9.0,0.051,1697.0,2024-11-13,Hyderabad,Desktop,data anaytics training
A1699,Data Analytics Course,170.0,5053.0,217.41,16.0,9.0,0.031,1497.0,,Hyderabad,Mobile,data anaytics training
A1700,Data Analytics Course,112.0,5093.0,228.8,23.0,7.0,0.062,1188.0,,Hyderabad,Desktop,analytics for data
A1701,Data Analytics Course,188.0,5336.0,188.73,17.0,3.0,0.016,1601.0,2024-11-03,Hyderabad,Tablet,online data analytic
A1702,Data Analytics Course,85.0,4963.0,186.21,14.0,6.0,0.07058823529411765,1747.0,,Hyderabad,Mobile,data analytics course
A1703,Data Analytics Course,94.0,4544.0,235.77,23.0,8.0,0.0851063829787234,1342.0,2024-11-05,Hyderabad,Tablet,online data analytic
A1704,Data Analytics Course,177.0,4901.0,217.54,20.0,10.0,0.056,1975.0,,Hyderabad,Tablet,data analitics online
A1705,Data Analytics Course,150.0,5275.0,192.7,14.0,4.0,0.027,1170.0,,Hyderabad,Tablet,data analitics online
A1706,Data Analytics Course,88.0,5225.0,202.97,22.0,6.0,0.068,1128.0,,Hyderabad,Tablet,online data analytic
A1707,Data Analytics Corse,128.0,4857.0,212.61,14.0,5.0,0.039,1538.0,,Hyderabad,Desktop,data analitics online
A1708,Data Analytics Course,163.0,5310.0,242.76,26.0,9.0,0.055,1793.0,2024-11-12,Hyderabad,Mobile,learn data analytics
A1709,Data Analytics Course,147.0,5014.0,193.08,12.0,8.0,0.054,1017.0,2024-11-11,Hyderabad,Tablet,online data analytic
A1710,Data Analytics Course,191.0,5855.0,196.54,29.0,3.0,0.016,1085.0,,Hyderabad,Desktop,data analytics course
A1711,Data Analytics Course,,5916.0,234.46,17.0,6.0,0.044,1982.0,2024-11-02,Hyderabad,Desktop,data analytics course
A1712,Data Analytics Course,115.0,3952.0,229.18,25.0,4.0,0.035,1440.0,,Hyderabad,Tablet,online data analytic
A1713,Data Analytics Course,123.0,4208.0,212.92,29.0,6.0,0.049,1184.0,,Hyderabad,Desktop,learn data analytics
A1714,Data Analytics Course,121.0,5517.0,222.14,16.0,7.0,0.05785123966942149,1682.0,,Hyderabad,Tablet,learn data analytics
A1715,Data Analytics Course,126.0,5460.0,210.83,24.0,10.0,0.079,1326.0,2024-11-14,Hyderabad,Tablet,online data analytic
A1716,Data Analytics Corse,110.0,3159.0,197.92,26.0,10.0,0.091,1608.0,2024-11-18,Hyderabad,Mobile,data analitics online
A1717,Data Analytics Corse,190.0,5545.0,223.96,13.0,7.0,0.037,1344.0,,Hyderabad,Tablet,analytics for data
A1718,Data Analytics Course,148.0,3668.0,245.79,15.0,10.0,0.068,1718.0,,Hyderabad,Desktop,data analytics course
A1719,Data Analytics Course,86.0,5663.0,231.79,19.0,10.0,0.116,1547.0,,Hyderabad,Mobile,data anaytics training
A1721,Data Analytics Course,143.0,5638.0,229.41,23.0,4.0,0.058,1398.0,,Hyderabad,Desktop,online data analytic
A1722,Data Analytics Course,172.0,4436.0,232.16,21.0,7.0,0.041,1050.0,,Hyderabad,Mobile,learn data analytics
A1723,Data Analytics Course,138.0,5555.0,188.55,14.0,8.0,0.058,1593.0,,Hyderabad,Desktop,data anaytics training
A1724,Data Analytics Course,132.0,4972.0,248.45,25.0,9.0,0.06818181818181818,1126.0,,Hyderabad,Tablet,data analitics online
A1726,Data Analytics Course,154.0,3461.0,235.36,18.0,4.0,0.025974025974025976,1212.0,,Hyderabad,Tablet,data analitics online
A1727,Data Analytics Course,126.0,3423.0,236.21,25.0,9.0,0.071,1106.0,,Hyderabad,Tablet,data anaytics training
A1728,Data Analytics Course,138.0,4025.0,220.96,21.0,7.0,0.051,1416.0,2024-11-24,Hyderabad,Tablet,data analitics online
A1729,Data Analytics Course,193.0,3800.0,199.76,27.0,9.0,0.047,1393.0,2024-11-17,Hyderabad,Mobile,data analytics course
A1730,Data Analytics Course,156.0,5293.0,210.43,26.0,6.0,0.038,1449.0,,Hyderabad,Tablet,data analytics course
A1731,Data Analytics Course,142.0,3565.0,180.39,26.0,5.0,0.035,1147.0,2024-11-01,Hyderabad,Tablet,data anaytics training
A1732,Data Analytics Course,92.0,4296.0,239.12,11.0,10.0,0.10869565217391304,1169.0,,Hyderabad,Tablet,data anaytics training
A1733,Data Analytics Course,190.0,3567.0,249.26,,7.0,0.057,1517.0,,Hyderabad,Desktop,data analitics online
A1734,Data Analytics Corse,134.0,4854.0,198.93,21.0,8.0,0.06,1101.0,,Hyderabad,Desktop,analytics for data
A1735,Data Analytics Course,144.0,,186.47,29.0,8.0,0.056,1437.0,,Hyderabad,Mobile,data analytics course
A1736,Data Analytics Corse,117.0,4630.0,196.66,15.0,8.0,0.06837606837606838,1361.0,,Hyderabad,Desktop,online data analytic
A1737,Data Analytics Corse,160.0,3448.0,210.38,19.0,7.0,0.044,1705.0,,Hyderabad,Desktop,data analytics course
A1738,Data Analytics Corse,146.0,5297.0,198.89,30.0,8.0,0.055,2000.0,2024-11-02,Hyderabad,Desktop,data anaytics training
A1739,Data Analytics Course,175.0,3818.0,190.89,30.0,10.0,0.039,1088.0,,Hyderabad,Tablet,data analitics online
A1740,Data Analytics Course,122.0,4791.0,223.16,12.0,4.0,0.033,1246.0,,Hyderabad,Tablet,learn data analytics
A1741,Data Analytics Course,85.0,3713.0,225.74,23.0,5.0,0.047,1867.0,,Hyderabad,Tablet,data analitics online
A1742,Data Analytics Course,167.0,3634.0,202.75,30.0,10.0,0.06,1503.0,,Hyderabad,Desktop,data anaytics training
A1743,Data Analytics Course,158.0,3025.0,180.5,24.0,9.0,0.056962025316455694,1725.0,,Hyderabad,Tablet,data anaytics training
A1744,Data Analytics Corse,176.0,5868.0,184.46,,4.0,0.023,1229.0,2024-11-20,Hyderabad,Desktop,data analytics course
A1745,Data Analytics Course,111.0,3050.0,208.87,10.0,7.0,0.063,1774.0,2024-11-26,Hyderabad,Tablet,analytics for data
A1747,Data Analytics Course,177.0,3042.0,239.64,26.0,4.0,0.023,1646.0,,Hyderabad,Mobile,data analytics course
A1748,Data Analytics Course,150.0,5272.0,239.06,13.0,9.0,0.06,1232.0,,Hyderabad,Desktop,online data analytic
A1749,Data Analytics Corse,160.0,4279.0,191.56,22.0,10.0,0.039,1234.0,,Hyderabad,Mobile,data analytics course
A1750,Data Analytics Course,147.0,5659.0,188.07,22.0,4.0,0.045,1796.0,,Hyderabad,Mobile,analytics for data
A1751,Data Analytics Course,198.0,4816.0,224.96,21.0,4.0,0.042,1601.0,,Hyderabad,Mobile,online data analytic
A1753,Data Analytics Corse,94.0,5221.0,225.23,17.0,3.0,0.036,1209.0,,Hyderabad,Tablet,learn data analytics
A1754,Data Analytics Course,90.0,5859.0,187.29,17.0,5.0,0.056,1375.0,,Hyderabad,Mobile,analytics for data
A1755,Data Analytics Course,182.0,5055.0,232.64,26.0,8.0,0.036,1815.0,,Hyderabad,Mobile,data anaytics training
A1756,Data Analytics Course,,4373.0,199.32,16.0,5.0,,1150.0,2024-11-02,Hyderabad,Desktop,data anaytics training
A1757,Data Analytics Course,,,234.85,11.0,8.0,,1398.0,2024-11-04,Hyderabad,Desktop,data anaytics training
A1758,Data Analytics Course,103.0,3547.0,232.35,11.0,8.0,0.078,1663.0,,Hyderabad,Tablet,learn data analytics
A1759,Data Analytics Corse,148.0,3128.0,197.02,27.0,9.0,0.061,1214.0,,Hyderabad,Tablet,data anaytics training
A1760,Data Analytics Course,151.0,5201.0,198.56,15.0,10.0,0.066,1716.0,,Hyderabad,Tablet,data anaytics training
A1761,Data Analytics Course,148.0,5510.0,210.42,27.0,4.0,0.048,1352.0,2024-11-06,Hyderabad,Mobile,learn data analytics
A1762,Data Analytics Course,103.0,5628.0,195.6,24.0,8.0,0.034,1065.0,2024-11-09,Hyderabad,Mobile,analytics for data
A1763,Data Analytics Course,115.0,5445.0,183.55,21.0,7.0,0.059,1721.0,2024-11-07,Hyderabad,Tablet,data analytics course
A1764,Data Analytics Corse,160.0,5936.0,239.87,29.0,4.0,0.025,1320.0,,Hyderabad,Mobile,analytics for data
A1765,Data Analytics Course,166.0,5808.0,194.79,14.0,8.0,0.048,1799.0,,Hyderabad,Tablet,data anaytics training
A1766,Data Analytics Course,187.0,3282.0,234.91,10.0,7.0,0.041,1525.0,,Hyderabad,Mobile,online data analytic
A1768,Data Analytics Course,172.0,5546.0,241.81,24.0,10.0,0.058,1681.0,2024-11-03,Hyderabad,Desktop,learn data analytics
A1769,Data Analytics Course,187.0,5734.0,187.44,10.0,8.0,0.043,1183.0,,Hyderabad,Tablet,analytics for data
A1770,Data Analytics Corse,196.0,4964.0,249.47,26.0,9.0,0.046,1996.0,2024-11-19,Hyderabad,Mobile,learn data analytics
A1772,Data Analytics Corse,103.0,5244.0,205.9,22.0,7.0,0.032,1954.0,2024-11-16,Hyderabad,Mobile,analytics for data
A1773,Data Analytics Course,114.0,3064.0,196.01,23.0,6.0,0.053,1348.0,,Hyderabad,Mobile,learn data analytics
A1774,Data Analytics Course,116.0,3265.0,199.21,24.0,10.0,0.086,1006.0,,Hyderabad,Mobile,learn data analytics
A1775,Data Analytics Course,164.0,5351.0,217.9,10.0,9.0,0.055,1431.0,,Hyderabad,Tablet,online data analytic
A1777,Data Analytics Course,112.0,4808.0,221.57,17.0,7.0,0.062,1186.0,,Hyderabad,Desktop,data analitics online
A1778,Data Analytics Course,87.0,5506.0,188.77,11.0,5.0,0.05747126436781609,1774.0,2024-11-22,Hyderabad,Mobile,learn data analytics
A1779,Data Analytics Course,,4798.0,198.45,20.0,10.0,,1937.0,2024-11-14,Hyderabad,Mobile,data anaytics training
A1780,Data Analytics Course,139.0,5763.0,214.49,15.0,5.0,0.045,1781.0,2024-11-01,Hyderabad,Desktop,data analitics online
A1781,Data Analytics Course,193.0,3271.0,187.76,30.0,9.0,0.053,1209.0,2024-11-13,Hyderabad,Tablet,online data analytic
A1782,Data Analytics Course,151.0,4402.0,248.65,21.0,4.0,0.026490066225165563,1722.0,,Hyderabad,Desktop,data analitics online
A1783,Data Analytics Corse,90.0,4281.0,216.36,24.0,4.0,0.044444444444444446,1768.0,,Hyderabad,Mobile,learn data analytics
A1785,Data Analytics Course,197.0,4373.0,218.3,18.0,9.0,0.059,1988.0,2024-11-14,Hyderabad,Desktop,learn data analytics
A1786,Data Analytics Corse,132.0,,219.44,17.0,3.0,0.055,1949.0,,Hyderabad,Desktop,learn data analytics
A1787,Data Analytics Course,96.0,5503.0,243.51,11.0,6.0,0.062,1687.0,2024-11-02,Hyderabad,Desktop,data analitics online
A1788,Data Analytics Course,160.0,4154.0,230.16,15.0,6.0,0.0375,1667.0,,Hyderabad,Mobile,online data analytic
A1789,Data Analytics Course,162.0,5161.0,240.72,16.0,7.0,0.043209876543209874,1649.0,2024-11-15,Hyderabad,Tablet,learn data analytics
A1790,Data Analytics Course,171.0,5517.0,233.86,23.0,5.0,0.029,1349.0,,Hyderabad,Tablet,data analytics course
A1791,Data Analytics Corse,110.0,4161.0,204.28,16.0,10.0,0.09090909090909091,1447.0,2024-11-14,Hyderabad,Mobile,data analitics online
A1792,Data Analytics Corse,103.0,5332.0,243.72,16.0,3.0,0.029,1882.0,2024-11-28,Hyderabad,Desktop,online data analytic
A1793,Data Analytics Course,167.0,3620.0,243.81,24.0,8.0,0.053,1001.0,,Hyderabad,Desktop,data analytics course
A1794,Data Analytics Course,132.0,4117.0,239.04,28.0,3.0,0.023,1761.0,2024-11-07,Hyderabad,Mobile,analytics for data
A1795,Data Analytics Course,145.0,5400.0,219.89,29.0,3.0,0.020689655172413793,1152.0,,Hyderabad,Tablet,data analytics course
A1796,Data Analytics Course,140.0,5220.0,183.39,25.0,8.0,0.057,1918.0,,Hyderabad,Desktop,learn data analytics
A1797,Data Analytics Course,122.0,,217.66,25.0,10.0,0.053,1799.0,,Hyderabad,Tablet,data analitics online
A1798,Data Analytics Course,87.0,4081.0,180.63,20.0,4.0,0.046,1665.0,,Hyderabad,Tablet,data analitics online
A1799,Data Analytics Course,141.0,4239.0,199.82,15.0,5.0,0.035,1639.0,,Hyderabad,Mobile,data anaytics training
A1800,Data Analytics Course,157.0,3367.0,248.9,,8.0,0.051,1470.0,,Hyderabad,Tablet,data anaytics training
A1801,Data Analytics Course,95.0,5721.0,208.53,16.0,6.0,0.063,1863.0,,Hyderabad,Mobile,data analytics course
A1802,Data Analytics Corse,160.0,5166.0,210.21,20.0,7.0,0.044,1850.0,,Hyderabad,Desktop,data analytics course
A1803,Data Analytics Course,133.0,5430.0,217.34,16.0,6.0,0.045,1199.0,,Hyderabad,Mobile,data analitics online
A1804,Data Analytics Course,154.0,3452.0,215.61,21.0,7.0,0.058,1631.0,,Hyderabad,Mobile,analytics for data
A1805,Data Analytics Course,188.0,,220.11,13.0,4.0,0.021,1262.0,,Hyderabad,Tablet,data analitics online
A1806,Data Analytics Course,186.0,5073.0,233.58,15.0,4.0,0.021505376344086023,1965.0,2024-11-04,Hyderabad,Tablet,online data analytic
A1807,Data Analytics Course,101.0,5757.0,249.33,25.0,9.0,0.035,1129.0,,Hyderabad,Mobile,learn data analytics
A1808,Data Analytics Course,150.0,3323.0,227.55,14.0,4.0,0.027,1931.0,2024-11-18,Hyderabad,Mobile,data analytics course
A1809,Data Analytics Course,127.0,5417.0,229.06,26.0,8.0,0.063,1086.0,,Hyderabad,Tablet,learn data analytics
A1810,Data Analytics Course,117.0,5445.0,213.9,10.0,5.0,0.043,1804.0,,Hyderabad,Desktop,data analytics course
A1811,Data Analytics Course,152.0,5173.0,230.47,15.0,5.0,0.036,1779.0,,Hyderabad,Desktop,learn data analytics
A1812,Data Analytics Course,87.0,3643.0,220.76,27.0,7.0,0.08045977011494253,1393.0,,Hyderabad,Desktop,data analitics online
A1813,Data Analytics Course,181.0,3863.0,180.12,17.0,7.0,0.035,1892.0,2024-11-28,Hyderabad,Desktop,data analytics course
A1815,Data Analytics Course,173.0,5463.0,232.38,17.0,5.0,0.029,1568.0,2024-11-26,Hyderabad,Desktop,analytics for data
A1816,Data Analytics Corse,123.0,3459.0,211.88,21.0,4.0,0.033,1223.0,,Hyderabad,Tablet,learn data analytics
A1817,Data Analytics Corse,162.0,3906.0,237.24,13.0,5.0,0.033,1062.0,,Hyderabad,Desktop,data anaytics training
A1819,Data Analytics Course,169.0,3317.0,232.35,29.0,3.0,0.049,1988.0,2024-11-24,Hyderabad,Mobile,data anaytics training
A1820,Data Analytics Course,120.0,3235.0,220.67,11.0,4.0,0.03333333333333333,1890.0,2024-11-17,Hyderabad,Mobile,learn data analytics
